# EOS from Jan-Erik Christian with effective mass m060 (m^*/m=0.60)
# The crust is from the BPS EOS
#	n_b [1/fm^3]			placeholder number        energy density [MeV/fm^3]    p [MeV/fm^3]
  0.360000000000000000013               123   59.1421999999999999965         362.060900000000000010      
  0.366699999999999999995               124   63.2685999999999999985         369.898699999999999999      
  0.373300000000000000013               125   67.5466000000000000025         377.812900000000000011      
  0.379999999999999999996               126   71.9734000000000000014         385.804799999999999988      
  0.386700000000000000005               127   76.5459000000000000033         393.875700000000000006      
  0.393299999999999999996               128   81.2612000000000000016         402.026600000000000013      
  0.400000000000000000005               129   86.1164999999999999994         410.258599999999999997      
  0.406699999999999999988               130   91.1088999999999999968         418.572699999999999987      
  0.413300000000000000006               131   96.2356999999999999929         426.969800000000000023      
  0.419999999999999999988               132   101.494300000000000003         435.450599999999999973      
  0.426699999999999999997               133   106.882300000000000001         444.015899999999999997      
  0.433299999999999999988               134   112.397199999999999998         452.666399999999999992      
  0.439999999999999999998               135   118.036799999999999999         461.402700000000000030      
  0.446700000000000000007               136   123.799099999999999998         470.225300000000000000      
  0.453299999999999999998               137   129.681999999999999995         479.134899999999999992      
  0.460000000000000000008               138   135.683700000000000002         488.131899999999999989      
  0.466699999999999999990               139   141.802400000000000002         497.216700000000000004      
  0.473300000000000000008               140   148.036400000000000002         506.389700000000000019      
  0.479999999999999999963               141   154.384300000000000003         515.651299999999999990      
  0.486700000000000000000               142   160.844500000000000001         525.001900000000000013      
  0.493299999999999999991               143   167.415700000000000000         534.441699999999999982      
  0.500000000000000000000               144   174.096699999999999994         543.971100000000000019      
  0.506700000000000000009               145   180.886200000000000002         553.590299999999999991      
  0.513299999999999999973               146   187.783199999999999993         563.299499999999999988      
  0.519999999999999999983               147   194.786500000000000005         573.098999999999999977      
  0.526699999999999999992               148   201.895200000000000010         582.988900000000000001      
  0.533300000000000000010               149   209.108399999999999996         592.969499999999999973      
  0.540000000000000000020               150   216.425200000000000009         603.040899999999999992      
  0.546699999999999999975               151   223.844799999999999995         613.203299999999999981      
  0.553299999999999999993               152   231.366400000000000017         623.456799999999999984      
  0.560000000000000000002               153   238.989300000000000013         633.801499999999999990      
  0.566700000000000000012               154   246.712900000000000006         644.237599999999999978      
  0.573299999999999999975               155   254.536500000000000005         654.765100000000000002      
  0.579999999999999999985               156   262.459499999999999992         665.384099999999999997      
  0.586699999999999999994               157   270.481300000000000006         676.094799999999999995      
  0.593300000000000000012               158   278.601399999999999990         686.897299999999999931      
  0.600000000000000000022               159   286.819399999999999989         697.791499999999999981      
  0.606699999999999999977               160   295.134599999999999997         708.777500000000000024      
  0.613299999999999999995               161   303.546800000000000008         719.855499999999999927      
  0.620000000000000000004               162   312.055400000000000005         731.025399999999999978      
  0.626700000000000000014               163   320.660000000000000003         742.287399999999999989      
  0.633299999999999999978               164   329.360300000000000009         753.641299999999999981      
  0.639999999999999999987               165   338.155900000000000011         765.087399999999999978      
  0.646699999999999999996               166   347.046500000000000014         776.625599999999999989      
  0.653300000000000000014               167   356.031700000000000006         788.255900000000000016      
  0.660000000000000000024               168   365.111199999999999966         799.978400000000000047      
  0.666699999999999999979               169   374.284799999999999970         811.793100000000000027      
  0.673299999999999999997               170   383.552099999999999980         823.700000000000000011      
  0.680000000000000000007               171   392.912800000000000000         835.699099999999999999      
  0.686700000000000000016               172   402.366900000000000004         847.790399999999999936      
  0.693299999999999999980               173   411.913800000000000001         859.973999999999999921      
  0.699999999999999999989               174   421.553600000000000009         872.249799999999999967      
  0.706699999999999999999               175   431.285899999999999987         884.617800000000000016      
  0.713300000000000000017               176   441.110399999999999998         897.078100000000000003      
  0.720000000000000000026               177   451.027100000000000013         909.630699999999999983      
  0.726699999999999999981               178   461.035799999999999998         922.275500000000000023      
  0.733299999999999999999               179   471.136099999999999999         935.012600000000000000      
  0.740000000000000000009               180   481.328000000000000014         947.841799999999999993      
  0.746700000000000000018               181   491.611300000000000010         960.763399999999999967      
  0.753299999999999999982               182   501.985800000000000010         973.777100000000000013      
  0.759999999999999999991               183   512.451400000000000023         986.883100000000000052      
  0.766700000000000000001               184   523.007900000000000018         1000.08119999999999999      
  0.773300000000000000019               185   533.655200000000000005         1013.37160000000000004      
  0.779999999999999999974               186   544.393100000000000005         1026.75409999999999999      
  0.786699999999999999983               187   555.221499999999999975         1040.22880000000000000      
  0.793300000000000000001               188   566.140299999999999980         1053.79559999999999997      
  0.800000000000000000011               189   577.149299999999999988         1067.45460000000000000      
  0.806700000000000000020               190   588.248499999999999999         1081.20569999999999999      
  0.813299999999999999984               191   599.437699999999999978         1095.04890000000000005      
  0.819999999999999999993               192   610.716700000000000004         1108.98409999999999997      
  0.826700000000000000003               193   622.085600000000000009         1123.01149999999999995      
  0.833300000000000000021               194   633.544200000000000017         1137.13090000000000002      
  0.839999999999999999976               195   645.092399999999999982         1151.34230000000000005      
  0.846699999999999999986               196   656.729999999999999982         1165.64570000000000005      
  0.853300000000000000004               197   668.457100000000000006         1180.04110000000000003      
  0.860000000000000000013               198   680.273499999999999965         1194.52849999999999997      
  0.866700000000000000022               199   692.179099999999999981         1209.10780000000000001      
  0.873299999999999999986               200   704.173899999999999999         1223.77900000000000003      
  0.879999999999999999996               201   716.257699999999999985         1238.54220000000000002      
  0.886700000000000000005               202   728.430500000000000049         1253.39720000000000000      
  0.893300000000000000023               203   740.692199999999999982         1268.34409999999999996      
  0.899999999999999999978               204   753.042800000000000060         1283.38280000000000003      
  0.906699999999999999988               205   765.482099999999999973         1298.51329999999999998      
  0.913300000000000000006               206   778.010199999999999987         1313.73570000000000002      
  0.920000000000000000015               207   790.626800000000000024         1329.04979999999999996      
  0.926700000000000000025               208   803.332100000000000006         1344.45560000000000000      
  0.933299999999999999988               209   816.125800000000000023         1359.95320000000000005      
  0.939999999999999999998               210   829.007900000000000018         1375.54239999999999988      
  0.946700000000000000007               211   841.978499999999999981         1391.22340000000000004      
  0.953299999999999999971               212   855.037399999999999989         1406.99600000000000011      
  0.959999999999999999926               213   868.184499999999999997         1422.86019999999999996      
  0.966700000000000000044               214   881.419800000000000062         1438.81599999999999995      
  0.973300000000000000062               215   894.743299999999999961         1454.86350000000000005      
  0.980000000000000000017               216   908.154899999999999982         1471.00239999999999996      
  0.986699999999999999973               217   921.654600000000000015         1487.23289999999999988      
  0.993300000000000000045               218   935.242200000000000082         1503.55500000000000005      
   1.00000000000000000000               219   948.917899999999999994         1519.96850000000000003      
   1.00670000000000000001               220   962.681400000000000006         1536.47340000000000004      
   1.01329999999999999997               221   976.532800000000000051         1553.06979999999999997      
   1.01999999999999999998               222   990.472000000000000031         1569.75770000000000004      
   1.02669999999999999999               223   1004.49900000000000005         1586.53690000000000015      
   1.03329999999999999996               224   1018.61370000000000008         1603.40749999999999997      
   1.03999999999999999997               225   1032.81610000000000005         1620.36939999999999995      
   1.04669999999999999997               226   1047.10619999999999996         1637.42269999999999996      
   1.05330000000000000005               227   1061.48390000000000000         1654.56720000000000004      
   1.05999999999999999995               228   1075.94920000000000004         1671.80310000000000004      
   1.06669999999999999996               229   1090.50200000000000000         1689.13009999999999999      
   1.07330000000000000003               230   1105.14229999999999998         1706.54840000000000000      
   1.08000000000000000004               231   1119.87000000000000000         1724.05800000000000005      
   1.08670000000000000005               232   1134.68520000000000003         1741.65869999999999995      
   1.09330000000000000001               233   1149.58779999999999999         1759.35050000000000003      
   1.10000000000000000002               234   1164.57779999999999998         1777.13349999999999995      
   1.10670000000000000003               235   1179.65510000000000002         1795.00760000000000016      
   1.11329999999999999999               236   1194.81969999999999998         1812.97280000000000011      
   1.12000000000000000000               237   1210.07160000000000000         1831.02910000000000001      
   1.12670000000000000001               238   1225.41069999999999995         1849.17639999999999989      
   1.13329999999999999998               239   1240.83699999999999997         1867.41469999999999996      
   1.13999999999999999999               240   1256.35050000000000003         1885.74399999999999999      
   1.14670000000000000000               241   1271.95109999999999995         1904.16440000000000010      
   1.15329999999999999996               242   1287.63890000000000002         1922.67559999999999998      
   1.15999999999999999997               243   1303.41369999999999996         1941.27780000000000005      
   1.16669999999999999998               244   1319.27559999999999996         1959.97089999999999999      
   1.17330000000000000005               245   1335.22460000000000002         1978.75490000000000002      
   1.17999999999999999995               246   1351.26060000000000005         1997.62980000000000003      
   1.18669999999999999996               247   1367.38349999999999995         2016.59550000000000003      
   1.19330000000000000003               248   1383.59350000000000003         2035.65200000000000002      
   1.20000000000000000004               249   1399.89029999999999998         2054.79929999999999990      
   1.20670000000000000005               250   1416.27410000000000001         2074.03740000000000010      
   1.21330000000000000002               251   1432.74480000000000002         2093.36630000000000007      
   1.22000000000000000003               252   1449.30230000000000001         2112.78590000000000004      
   1.22670000000000000004               253   1465.94669999999999999         2132.29620000000000002      
   1.23330000000000000000               254   1482.67789999999999995         2151.89720000000000000      
   1.24000000000000000001               255   1499.49590000000000001         2171.58889999999999998      
   1.24670000000000000002               256   1516.40069999999999995         2191.37119999999999997      
   1.25329999999999999998               257   1533.39229999999999998         2211.24419999999999997      
   1.25999999999999999999               258   1550.47060000000000002         2231.20779999999999998      
   1.26670000000000000000               259   1567.63560000000000005         2251.26200000000000001      
   1.27329999999999999996               260   1584.88729999999999987         2271.40670000000000006      
   1.27999999999999999997               261   1602.22570000000000001         2291.64199999999999990      
   1.28669999999999999998               262   1619.65069999999999995         2311.96779999999999999      
   1.29329999999999999995               263   1637.16239999999999999         2332.38420000000000010      
   1.29999999999999999996               264   1654.76070000000000004         2352.89100000000000001      
   1.30669999999999999997               265   1672.44559999999999989         2373.48829999999999996      
   1.31330000000000000004               266   1690.21709999999999996         2394.17599999999999993      
   1.32000000000000000005               267   1708.07520000000000004         2414.95419999999999994      
   1.32669999999999999995               268   1726.01980000000000004         2435.82279999999999998      
   1.33330000000000000002               269   1744.05089999999999995         2456.78170000000000006      
   1.34000000000000000003               270   1762.16859999999999997         2477.83109999999999995      
   1.34670000000000000004               271   1780.37270000000000003         2498.97080000000000011      
   1.35330000000000000000               272   1798.66330000000000000         2520.20080000000000009      
   1.36000000000000000001               273   1817.04039999999999988         2541.52120000000000011      
   1.36670000000000000002               274   1835.50400000000000000         2562.93179999999999996      
   1.37329999999999999999               275   1854.05389999999999995         2584.43270000000000008      
   1.38000000000000000000               276   1872.69030000000000002         2606.02390000000000003      
   1.38670000000000000001               277   1891.41310000000000013         2627.70530000000000004      
   1.39329999999999999997               278   1910.22230000000000005         2649.47700000000000009      
   1.39999999999999999998               279   1929.11790000000000000         2671.33879999999999999      
   1.40669999999999999999               280   1948.09980000000000000         2693.29079999999999995      
   1.41329999999999999995               281   1967.16800000000000004         2715.33299999999999996      
   1.41999999999999999996               282   1986.32260000000000000         2737.46540000000000004      
   1.42669999999999999997               283   2005.56350000000000000         2759.68780000000000019      
   1.43330000000000000004               284   2024.89070000000000005         2782.00039999999999996      
   1.44000000000000000005               285   2044.30420000000000003         2804.40310000000000001      
   1.44669999999999999995               286   2063.80400000000000005         2826.89579999999999993      
   1.45330000000000000003               287   2083.38999999999999990         2849.47869999999999990      
   1.46000000000000000003               288   2103.06220000000000003         2872.15149999999999997      
   1.46670000000000000004               289   2122.82069999999999999         2894.91440000000000010      
   1.47330000000000000001               290   2142.66549999999999998         2917.76730000000000032      
   1.48000000000000000002               291   2162.59640000000000004         2940.71019999999999994      
   1.48670000000000000003               292   2182.61349999999999993         2963.74300000000000010      
   1.49329999999999999999               293   2202.71680000000000010         2986.86579999999999990      
   1.50000000000000000000               294   2222.90630000000000011         3010.07860000000000000      
   1.50670000000000000001               295   2243.18199999999999994         3033.38120000000000021      
   1.51329999999999999997               296   2263.54380000000000006         3056.77380000000000004      
   1.51999999999999999998               297   2283.99170000000000003         3080.25630000000000019      
   1.52669999999999999999               298   2304.52580000000000005         3103.82860000000000000      
   1.53329999999999999996               299   2325.14589999999999992         3127.49079999999999990      
   1.53999999999999999997               300   2345.85220000000000007         3151.24279999999999968      
   1.54669999999999999997               301   2366.64460000000000006         3175.08470000000000000      
   1.55330000000000000005               302   2387.52299999999999991         3199.01639999999999997      
   1.55999999999999999995               303   2408.48760000000000003         3223.03780000000000006      
   1.56669999999999999996               304   2429.53810000000000002         3247.14910000000000001      
   1.57330000000000000003               305   2450.67480000000000007         3271.35000000000000009      
   1.58000000000000000004               306   2471.89739999999999998         3295.64080000000000004      
   1.58670000000000000005               307   2493.20609999999999995         3320.02120000000000011      
   1.59330000000000000001               308   2514.60080000000000000         3344.49140000000000006      
   1.60000000000000000002               309   2536.08159999999999989         3369.05129999999999990      
   1.60670000000000000003               310   2557.64830000000000010         3393.70090000000000008      
   1.61329999999999999999               311   2579.30099999999999993         3418.44009999999999994      
   1.62000000000000000000               312   2601.03970000000000007         3443.26899999999999991      
   1.62670000000000000001               313   2622.86430000000000007         3468.18750000000000000      
   1.63329999999999999998               314   2644.77489999999999992         3493.19560000000000000      
   1.63999999999999999999               315   2666.77150000000000007         3518.29340000000000033      
   1.64670000000000000000               316   2688.85400000000000009         3543.48070000000000013      
   1.65329999999999999996               317   2711.02239999999999998         3568.75760000000000005      
   1.65999999999999999997               318   2733.27679999999999993         3594.12409999999999988      
   1.66669999999999999998               319   2755.61700000000000021         3619.58010000000000006      
   1.67330000000000000005               320   2778.04319999999999991         3645.12559999999999993      
   1.67999999999999999995               321   2800.55529999999999990         3670.76069999999999993      
   1.68669999999999999996               322   2823.15320000000000000         3696.48530000000000006      
   1.69330000000000000003               323   2845.83709999999999973         3722.29940000000000011      
   1.70000000000000000004               324   2868.60680000000000001         3748.20290000000000008      
   1.70670000000000000005               325   2891.46229999999999993         3774.19589999999999996      
   1.71330000000000000002               326   2914.40369999999999995         3800.27829999999999999      
   1.72000000000000000003               327   2937.43100000000000005         3826.45019999999999993      
   1.72670000000000000004               328   2960.54410000000000003         3852.71150000000000002      
   1.73330000000000000000               329   2983.74300000000000010         3879.06220000000000003      
   1.74000000000000000001               330   3007.02780000000000005         3905.50229999999999997      
   1.74670000000000000002               331   3030.39830000000000010         3932.03180000000000005      
   1.75329999999999999998               332   3053.85470000000000002         3958.65070000000000006      
   1.75999999999999999999               333   3077.39679999999999982         3985.35880000000000001      
   1.76670000000000000000               334   3101.02479999999999993         4012.15640000000000009      
   1.77329999999999999996               335   3124.73849999999999993         4039.04319999999999991      
   1.77999999999999999997               336   3148.53800000000000003         4066.01940000000000008      
   1.78669999999999999998               337   3172.42330000000000001         4093.08479999999999999      
   1.79329999999999999995               338   3196.39430000000000009         4120.23959999999999981      
   1.79999999999999999996               339   3220.45100000000000007         4147.48360000000000003      
   1.80669999999999999997               340   3244.59359999999999991         4174.81689999999999996      
   1.81330000000000000004               341   3268.82180000000000031         4202.23939999999999984      
   1.82000000000000000005               342   3293.13579999999999992         4229.75119999999999987      
   1.82669999999999999995               343   3317.53549999999999986         4257.35210000000000008      
   1.83330000000000000002               344   3342.02089999999999992         4285.04230000000000000      
   1.84000000000000000003               345   3366.59200000000000008         4312.82169999999999987      
   1.84670000000000000004               346   3391.24889999999999990         4340.69019999999999992      
   1.85330000000000000000               347   3415.99139999999999984         4368.64789999999999992      
   1.86000000000000000001               348   3440.81960000000000011         4396.69479999999999986      
   1.86670000000000000002               349   3465.73350000000000004         4424.83079999999999998      
   1.87329999999999999999               350   3490.73310000000000008         4453.05600000000000005      
   1.88000000000000000000               351   3515.81830000000000003         4481.37029999999999985      
   1.88670000000000000001               352   3540.98920000000000008         4509.77360000000000007      
   1.89329999999999999997               353   3566.24570000000000003         4538.26609999999999978      
   1.89999999999999999998               354   3591.58790000000000009         4566.84770000000000012      
   1.90669999999999999988               355   3617.01580000000000004         4595.51829999999999998      
   1.91330000000000000006               356   3642.52919999999999989         4624.27800000000000002      
   1.91999999999999999985               357   3668.12829999999999986         4653.12670000000000003      
   1.92669999999999999997               358   3693.81309999999999993         4682.06440000000000001      
   1.93330000000000000015               359   3719.58339999999999992         4711.09120000000000017      
   1.93999999999999999994               360   3745.43940000000000023         4740.20699999999999985      
   1.94670000000000000006               361   3771.38090000000000002         4769.41179999999999994      
   1.95330000000000000003               362   3797.40809999999999991         4798.70560000000000000      
   1.96000000000000000003               363   3823.52079999999999993         4828.08840000000000003      
   1.96670000000000000015               364   3849.71920000000000006         4857.56009999999999982      
   1.97330000000000000001               365   3876.00309999999999988         4887.12080000000000002      
   1.97999999999999999991               366   3902.37260000000000026         4916.77039999999999997      
   1.98670000000000000003               367   3928.82760000000000011         4946.50890000000000013      
   1.99329999999999999988               368   3955.36819999999999986         4976.33639999999999981      
   2.00000000000000000000               369   3981.99439999999999995         5006.25280000000000014      
   2.00670000000000000001               370   4008.70620000000000016         5036.25800000000000001      
   2.01329999999999999997               371   4035.50340000000000007         5066.35219999999999985      
   2.01999999999999999998               372   4062.38630000000000009         5096.53520000000000012      
   2.02669999999999999999               373   4089.35460000000000003         5126.80710000000000015      
   2.03329999999999999996               374   4116.40850000000000009         5157.16789999999999994      
   2.03999999999999999997               375   4143.54789999999999983         5187.61739999999999995      
   2.04669999999999999997               376   4170.77280000000000015         5218.15589999999999993      
   2.05329999999999999994               377   4198.08329999999999993         5248.78310000000000013      
   2.05999999999999999995               378   4225.47920000000000007         5279.49909999999999988      
   2.06669999999999999996               379   4252.96070000000000011         5310.30399999999999983      
   2.07329999999999999992               380   4280.52769999999999984         5341.19760000000000000      
   2.07999999999999999993               381   4308.18009999999999993         5372.18000000000000016      
   2.08669999999999999994               382   4335.91800000000000015         5403.25119999999999987      
   2.09329999999999999990               383   4363.74149999999999983         5434.41109999999999980      
   2.09999999999999999991               384   4391.65039999999999987         5465.65980000000000016      
   2.10669999999999999992               385   4419.64469999999999983         5496.99719999999999986      
   2.11330000000000000010               386   4447.72460000000000013         5528.42340000000000044      
   2.11999999999999999990               387   4475.88989999999999991         5559.93820000000000014      
